accession,strain,gene,genotype
MH793462,A/Broiler/Iran/MMV9_1/2013(H9N2),NA,N2
MH793463,A/Broiler/Iran/MMV9_7/2012(H9N2),NA,N2
MH802614,A/swine/Kansas/A01785589/2018(H1N2),NA,N2
MH802643,A/swine/Michigan/A02254615/2018(H3N2),NA,N2
MH814940,A/swine/Minnesota/A01785595/2018(H3N2),NA,N2
MH818372,A/swine/Iowa/A01678579/2018(H1N2),NA,N2
MH819311,A/swine/Iowa/A02255010/2018(H3N2),NA,N2
MH843158,A/swine/Iowa/A01785594/2018(H3N2),NA,N2
MH843160,A/swine/Texas/A01785599/2018(H1N1),NA,N1
MH899099,A/swine/Nebraska/A01678580/2018(H3N2),NA,N2
MH910366,A/swine/North_Carolina/A02256556/2018(H1N2),NA,N2
MH922888,A/swine/Ohio/18TOSU4522/2018(H1N2),NA,N2
MH930509,A/chicken/Pakistan/540CF/2015(H9N2),NA,N2
MH937426,A/swine/Nebraska/A02256796/2018(H1N2),NA,N2
MH992683,A/swine/North_Carolina/A02257046/2018(H1N1),NA,N1
MH992699,A/swine/Iowa/A02257201/2018(H3N2),NA,N2
MK014574,A/swine/South_Dakota/A01678587/2018(H1N2),NA,N2
MK024154,A/swine/North_Carolina/A01785607/2018(H1N2),NA,N2
MK027381,A/chicken/Puebla/CPA_28973/2015(H7N3),NA,N3
MK033559,A/duck/Hunan/S10078/2015(H10N1),NA,N1
MK039794,A/swine/Iowa/A02257398/2018(H1N1),NA,N1
MK039804,A/swine/Iowa/A02257394/2018(H3N2),NA,N2
MK039806,A/swine/Iowa/A02257387/2018(H3N2),NA,N2
MK039826,A/swine/Iowa/A02257396/2018(H1N1),NA,N1
MK050787,A/swine/Minnesota/A01785627/2018(H1N1),NA,N1
MK071358,A/cinnamon_teal/Argentina/CIP051_432/2011(H1N1),NA,N1
MK071374,A/rosy_billed_pochard/Argentina/CIP051_272/2007(H6N2),NA,N2
MK071390,A/silver_teal/Argentina/CIP051_1737/2009(H5N3),NA,N3
MK071438,A/yellow_billed_pintail/Argentina/CIP112_1174A/2016(H6N2),NA,N2
MK072839,A/swine/Iowa/A02257789/2018(H1N2),NA,N2
MK072859,A/swine/Minnesota/A01785633/2018(H1N2),NA,N2
MK072861,A/swine/Iowa/A01785635/2018(H1N2),NA,N2
MK075035,A/swine/Italy/214856/2018(H1N2),NA,N2
MK075043,A/swine/Italy/39230/2017(H3N2),NA,N2
MK075058,A/swine/Italy/60591/2018(H1N2),NA,N2
MK075089,A/swine/Italy/349550/2016(H1N1),NA,N1
MK117072,A/Guangdong/YueFang277/2017(H3N2),NA,N2
MK121689,A/swine/South_Dakota/A01678592/2018(H1N2),NA,N2
MK129507,A/swine/Iowa/A02267450/2018(H1N1),NA,N1
MK129509,A/swine/Iowa/A02267444/2018(H1N1),NA,N1
MK129523,A/swine/Utah/A02267566/2018(H1N1),NA,N1
MK134379,A/swine/Iowa/A01785648/2018(H1N2),NA,N2
MK134383,A/swine/Minnesota/A01785644/2018(H1N1),NA,N1
MK156645,A/swine/Iowa/A02267933/2018(H1N1),NA,N1
MK156673,A/swine/Iowa/A02266836/2018(H1N2),NA,N2
MK163971,A/mallard_duck/Chile/C23961/2017(H5N3),NA,N3
MK168420,A/USA/SC5820/2017(H1N1),NA,N1
MK176493,A/swine/Minnesota/A01785723/2018(H3N2),NA,N2
MK176507,A/swine/Oklahoma/A01785722/2018(H3N2),NA,N2
MK208422,A/swine/North_Carolina/A02268302/2018(H1N2),NA,N2
MK226524,A/Trirupati/INDNTR04.6/2017(H1N1),NA,N1
MK226526,A/Chittur/INDNCH16.6/2017(H1N1),NA,N1
MK228096,A/swine/Laiwu/16/2017(H1N1),NA,N1
MK235138,A/swine/Tai'an/23/2017(H1N1),NA,N1
MK243687,A/swine/Texas/A01785737/2018(H1N1),NA,N1
MK243697,A/swine/Minnesota/A01785733/2018(H1N1),NA,N1
MK243701,A/swine/Minnesota/A01785731/2018(H1N2),NA,N2
MK249073,A/swine/Indiana/A02268576/2018(H1N2),NA,N2
MK249099,A/swine/North_Carolina/A02268530/2018(H1N1),NA,N1
MK287796,A/chicken/Brong_Ahafo/18VIR1513_13/2017(H9N2),NA,N2
MK287799,A/chicken/Ashanti/18VIR1513_23/2018(H9N2),NA,N2
MK297709,A/swine/Texas/A01785761/2018(H1N2),NA,N2
MK300670,A/swine/Tai'an/95/2017(H1N1),NA,N1
MK317980,A/swine/Colordao/A01785769/2018(H1N2),NA,N2
MK317984,A/swine/North_Carolina/A01785773/2018(H1N2),NA,N2
MK318187,A/swine/Illinois/A02270099/2018(H3N2),NA,N2
MK321302,A/swine/Illinois/A02269649/2018(H1N2),NA,N2
MK328566,A/swine/Quebec/DM_16/2017(H3N2),NA,N2
MK328574,A/swine/Quebec/DM_06/2016(H3N2),NA,N2
MK328590,A/swine/Quebec/DM_25/2017(H3N2),NA,N2
MK328647,A/swine/Quebec/DM_31/2017(H3N2),NA,N2
MK328687,A/swine/Quebec/DM_24/2017(H3N2),NA,N2
MK328727,A/swine/Ontario/DM_11/2017(H1N2),NA,N2
MK328777,A/swine/Quebec/DM_37/2017(H3N2),NA,N2
MK328785,A/swine/Quebec/DM_30/2017(H3N2),NA,N2
MK345853,A/laughing_gull/Delaware_Bay/464/2018(H16N3),NA,N3
MK358861,A/swine/North_Carolina/A02271069/2018(H1N1),NA,N1
MK358869,A/swine/Iowa/A02269804/2018(H1N2),NA,N2
MK358873,A/swine/Utah/A02271044/2018(H1N2),NA,N2
MK358879,A/swine/Iowa/A02269999/2018(H1N2),NA,N2
MK358893,A/swine/Iowa/A02270000/2018(H1N2),NA,N2
MK360820,A/swine/Illinois/A01678603/2018(H1N2),NA,N2
MK371698,A/swine/Iowa/A02271352/2018(H1N2),NA,N2
MK380012,A/swine/South_Dakota/A01678604/2018(H1N2),NA,N2
MK391645,A/swine/Iowa/A02427667/2018(H3N2),NA,N2
MK391653,A/swine/Illinois/A02271345/2018(H3N2),NA,N2
MK391665,A/swine/Illinois/A02427656/2018(H3N2),NA,N2
MK391675,A/swine/North_Carolina/A02427629/2018(H1N2),NA,N2
MK405270,A/swine/Minnesota/A01785788/2018(H3N2),NA,N2
MK405272,A/swine/Iowa/A01785783/2018(H3N2),NA,N2
MK405274,A/swine/North_Carolina/A01785810/2018(H1N2),NA,N2
MK418477,A/swine/Missouri/A02428123/2018(H3N2),NA,N2
MK418497,A/swine/North_Carolina/A02428119/2018(H1N1),NA,N1
MK452405,A/swine/Illinois/A02429360/2019(H1N2),NA,N2
MK462356,A/swine/Saskatchewan/SD0247/2017(H3N2),NA,N2
MK462381,A/swine/Manitoba/D0526/2017(H1N2),NA,N2
MK462533,A/swine/Manitoba/SD0213/2017(H1N2),NA,N2
MK462549,A/swine/Manitoba/SD0218/2017(H1N2),NA,N2
MK462589,A/swine/Manitoba/SD0236/2017(H1N2),NA,N2
MK462597,A/swine/Manitoba/D0523/2017(H1N2),NA,N2
MK462637,A/swine/Manitoba/D0519/2017(H1N2),NA,N2
MK462752,A/swine/Alberta/SD0227/2017(H1N2),NA,N2
MK462792,A/swine/Ontario/SD0298/2018(H3N2),NA,N2
MK462824,A/swine/Manitoba/SD0302/2018(H1N2),NA,N2
MK462856,A/swine/Alberta/SD0217/2017(H1N2),NA,N2
MK462952,A/swine/Manitoba/D0511/2017(H1N2),NA,N2
MK477672,A/swine/Iowa/A02429494/2019(H1N2),NA,N2
MK477690,A/swine/Iowa/A02429496/2019(H3N2),NA,N2
MK477698,A/swine/Illinois/A02429385/2019(H1N2),NA,N2
MK478543,A/swine/Ohio/OH18_09970.6/2018(H3N2),NA,N2
MK503399,A/swine/Indiana/A02429800/2019(H1N2),NA,N2
MK503401,A/swine/Iowa/A02429495/2019(H1N1),NA,N1
MK506980,A/swine/Minnesota/A01785818/2019(H1N1),NA,N1
MK551228,A/swine/Minnesota/A01785909/2019(H3N2),NA,N2
MK564254,A/swine/Pennsylvania/A02429857/2019(H1N2),NA,N2
MK577666,A/swine/Virginia/A01785950/2019(H3N2),NA,N2
MK583615,A/Mandarin_duck/China/segment6_NA/2015(H3N2),NA,N2
MK587716,A/swine/China/Qingdao/2018(H1N1),NA,N1
MK599380,A/swine/Texas/A01785955/2019(H1N2),NA,N2
MK622814,A/swine/North_Carolina/A02430551/2019(H1N2),NA,N2
MK622824,A/swine/Indiana/A02430541/2019(H3N2),NA,N2
MK628068,A/red_knot/Delaware_Bay/433/2013(H10N2),NA,N2
MK637235,A/semipalmated_sandpiper/Delaware_Bay/323/2015(H11N2),NA,N2
MK640445,A/swine/Nebraska/A02430692/2019(H3N2),NA,N2
MK640465,A/swine/Oklahoma/A01785985/2019(H1N2),NA,N2
MK640739,A/China/60956/2014(H3N2),NA,N2
MK671355,A/swine/Minnesota/A01785993/2019(H1N2),NA,N2
MK677419,A/swine/Iowa/A02430911/2019(H1N1),NA,N1
MK677427,A/swine/Indiana/A02430689/2019(H1N1),NA,N1
MK677429,A/swine/Nebraska/A02430817/2019(H1N2),NA,N2
MK714854,A/swine/Ohio/A02431145/2019(H1N2),NA,N2
MK724062,A/dunlin/Delaware_Bay/347/2012(H16N3),NA,N3
MK751578,A/swine/Iowa/A02431352/2019(H3N2),NA,N2
MK751586,A/swine/North_Carolina/A02431266/2019(H1N2),NA,N2
MK785431,A/swine/Oklahoma/A02245012/2019(H1N2),NA,N2
MK890343,A/swine/Indiana/A01812291/2019(H1N2),NA,N2
MK893082,A/swine/Indiana/A01812292/2019(H3N2),NA,N2
MK912456,A/Arkansas/8724/2019(H1N1),NA,N1
MK922342,A/swine/Iowa/A02432324/2019(H3N2),NA,N2
MK942874,A/chicken/Jeddah/733/2018(H9N2),NA,N2
MK981187,A/duck/Indonesia/04161291_OP/2016(H9N2),NA,N2
MK992898,A/swine/North_Carolina/A02245129/2019(H3N2),NA,N2
MN022467,A/swine/Iowa/A02478489/2019(H1N1),NA,N1
MN022473,A/swine/Iowa/A02478487/2019(H1N1),NA,N1
MN032341,A/swine/Nebraska/A01378044/2019(H1N2),NA,N2
MN086847,A/swine/Iowa/A02478517/2019(H1N2),NA,N2
MN086851,A/swine/Kansas/A02478501/2019(H1N2),NA,N2
MN086867,A/swine/Iowa/A02478508/2019(H1N2),NA,N2
MN088659,A/chicken/Taiwan/2896/2000(H6N1),NA,N1
MN095393,A/swine/North_Carolina/A02478526/2019(H1N1),NA,N1
MN101175,A/swine/Indiana/A01812293/2019(H1N2),NA,N2
MN128324,A/swine/South_Dakota/A02478530/2019(H1N1),NA,N1
MN128328,A/swine/Iowa/A02478539/2019(H3N2),NA,N2
MN150157,A/swine/Iowa/A02478515/2019(H1N2),NA,N2
MN171428,A/duck/Chongqing/S4362/2017(H5N3),NA,N3
MN171444,A/duck/Jiangsu/S1665/2015(H5N3),NA,N3
MN171460,A/wild_bird/Eastern_China/1754/2017(H5N3),NA,N3
MN184592,A/swine/Iowa/A02478560/2019(H1N1),NA,N1
MN184594,A/swine/Iowa/A02478559/2019(H1N2),NA,N2
MN193095,A/swine/Iowa/A02478561/2019(H1N2),NA,N2
MN193099,A/swine/Utah/A02478565/2019(H1N2),NA,N2
MN200982,A/swine/Western_Australia/AS_18_4235_0002/2018(H1N1),NA,N1
MN201038,A/swine/Victoria/13_1724_W1/2013(H1N1),NA,N1
MN201070,A/swine/Victoria/17_1676_3/2017(H1N1),NA,N1
MN201086,A/swine/Victoria/18_04095_0003/2018(H1N1),NA,N1
MN201102,A/swine/Western_Australia/AS_13_1125_0016/2013(H1N1),NA,N1
MN210189,A/Glaucous_Winged_Gull/Southcentral_Alaska/17MB03725/2017(H16N3),NA,N3
MN210278,A/Herring_Gull/Massachusetts/A00648696/2008(H13N2),NA,N2
MN224998,A/swine/Iowa/A02478573/2019(H1N1),NA,N1
MN225002,A/swine/Indiana/A02478567/2019(H1N2),NA,N2
MN225004,A/swine/Iowa/A02478576/2019(H1N2),NA,N2
MN249754,A/swine/Denmark/V81/2017(H1N2),NA,N2
MN319483,A/swine/Iowa/A02478596/2019(H1N2),NA,N2
MN389232,A/swine/South_Dakota/A02478607/2019(H3N2),NA,N2
MN393746,A/swine/Liaoning/DL53/2015(H1N1),NA,N1
MN410807,A/swine/Denmark/HB1212U1NA/2017(H1N2),NA,N2
MN410817,A/swine/Denmark/P5U4NA/2016(H1N1),NA,N1
MN416690,A/swine/Anhui/0202/2018(H1N1),NA,N1
MN416692,A/swine/Anhui/1227/2015(H1N1),NA,N1
MN416693,A/swine/Beijing/0301/2018(H1N1),NA,N1
MN416718,A/swine/Henan/201/2011(H1N1),NA,N1
MN416723,A/swine/Henan/SN10/2018(H1N1),NA,N1
MN416734,A/swine/Jilin/625/2013(H1N1),NA,N1
MN416754,A/swine/Shandong/JM78/2017(H1N1),NA,N1
MN430729,A/Common_Goldeneye/Wisconsin/18OS3317/2018(H2N3),NA,N3
MN431096,A/American_Green_winged_Teal/Mississippi/18OS3627/2018(H10N3),NA,N3
MN431167,A/American_Green_winged_Teal/Mississippi/18OS3718/2018(H1N3),NA,N3
MN436827,A/swine/North_Carolina/A02478619/2019(H1N2),NA,N2
MN436829,A/swine/Iowa/A02478611/2019(H1N1),NA,N1
MN436831,A/swine/Pennsylvania/A02478616/2019(H1N2),NA,N2
MN436833,A/swine/North_Carolina/A02478615/2019(H3N2),NA,N2
MN447241,A/swine/Minnesota/A02245211/2019(H1N2),NA,N2
MN447251,A/swine/Nebraska/A02245210/2019(H1N2),NA,N2
MN450674,A/swine/Iowa/A02478627/2019(H1N2),NA,N2
MN450678,A/swine/South_Dakota/A02478614/2019(H1N2),NA,N2
MN507703,A/swine/Minnesota/A02245229/2019(H1N2),NA,N2
MN508986,A/India/5943/2017(H1N1),NA,N1
MN508989,A/India/5546/2017(H1N1),NA,N1
MN508992,A/India/5733/2017(H1N1),NA,N1
MN509170,A/swine/South_Dakota/A01678606/2019(H1N2),NA,N2
MN517763,A/swine/Iowa/A02478650/2019(H3N2),NA,N2
MN517767,A/swine/Iowa/A02478644/2019(H1N2),NA,N2
MN517797,A/swine/Iowa/A02478636/2019(H3N2),NA,N2
MN517801,A/swine/Iowa/A02478648/2019(H1N1),NA,N1
MN517807,A/swine/North_Carolina/A02478653/2019(H3N2),NA,N2
MN530616,A/guniea_fowl/South_Korea/N06_1259/2006(H9N2),NA,N2
MN530620,A/mallard/South_Korea/N06_1355/2006(H3N2),NA,N2
MN530621,A/mallard/South_Korea/N07_0077/2007(H9N2),NA,N2
MN530624,A/white_peckin_duck/South_Korea/N07_0078/2007(H3N2),NA,N2
MN530626,A/korean_native_chicken/South_Korea/N07_190/2007(H9N2),NA,N2
MN530629,A/white_peckin_duck/South_Korea/N07_0186/2007(H9N2),NA,N2
MN530630,A/broiler/South_Korea/N07_0242/2007(H9N2),NA,N2
MN530631,A/korean_native_chicken/South_Korea/N07_0267/2007(H9N2),NA,N2
MN530635,A/broiler/South_Korea/N07_0371/2007(H9N2),NA,N2
MN530649,A/mallard/South_Korea/N07_1243/2007(H9N2),NA,N2
MN530657,A/pheasant/South_Korea/N08_0180/2008(H9N2),NA,N2
MN530665,A/korean_native_chicken/South_Korea/N08_0438/2008(H9N2),NA,N2
MN530668,A/korean_native_chicken/South_Korea/N08_0585/2008(H9N2),NA,N2
MN530673,A/korean_native_chicken/South_Korea/P09_129/2009(H9N2),NA,N2
MN530686,A/white_peckin_duck/South_Korea/P09_368/2009(H3N2),NA,N2
MN530690,A/korean_native_chicken/South_Korea/P09_386/2009(H6N2),NA,N2
MN530691,A/korean_native_chicken/South_Korea/P09_390/2009(H9N2),NA,N2
MN530698,A/mallard/South_Korea/N10_140/2010(H9N2),NA,N2
MN530704,A/white_peckin_duck/South_Korea/N12_008/2012(H9N2),NA,N2
MN530711,A/korean_native_chicken/South_Korea/N12_034/2012(H3N2),NA,N2
MN530717,A/korean_native_chicken/South_Korea/N13_023/2013(H9N2),NA,N2
MN530718,A/korean_native_chicken/South_Korea/N15_001/2015(H9N2),NA,N2
MN530719,A/korean_native_chicken/South_Korea/N16_005/2016(H9N2),NA,N2
MN543889,A/swine/Wyoming/A02245222/2019(H3N2),NA,N2
MN543899,A/swine/North_Carolina/A02245246/2019(H1N2),NA,N2
MN544241,A/swine/North_Carolina/A02478667/2019(H1N2),NA,N2
MN569737,A/Newcastle/201/2017(H3N2),NA,N2
MN569857,A/Newcastle/602/2017(H3N2),NA,N2
MN570969,A/South_Australia/266/2017(H3N2),NA,N2
MN623507,A/swine/North_Carolina/A02478699/2019(H1N1),NA,N1
MN623509,A/swine/South_Dakota/A02478698/2019(H1N1),NA,N1
MN623513,A/swine/Indiana/A02478691/2019(H1N1),NA,N1
MN623519,A/swine/Missouri/A02478696/2019(H1N1),NA,N1
MN630296,A/swine/Minnesota/A02245278/2019(H3N2),NA,N2
MN630298,A/swine/Minnesota/A02245275/2019(H1N2),NA,N2
MN630798,A/swine/Illinois/A02478726/2019(H1N2),NA,N2
MN630804,A/swine/Iowa/A02478730/2019(H3N2),NA,N2
MN630808,A/swine/Iowa/A02478728/2019(H1N1),NA,N1
MN630828,A/swine/North_Carolina/A02478711/2019(H3N2),NA,N2
MN630830,A/swine/Iowa/A02478731/2019(H1N2),NA,N2
MN646197,A/swine/Nebraska/A02245292/2019(H1N2),NA,N2
MN646199,A/swine/Minnesota/A02245279/2019(H1N2),NA,N2
MN646207,A/swine/Texas/A02245285/2019(H1N2),NA,N2
MN655804,A/swine/Iowa/A02478756/2019(H1N1),NA,N1
MN655832,A/swine/Iowa/A02478747/2019(H3N2),NA,N2
MN688363,A/swine/Oklahoma/A02245308/2019(H3N2),NA,N2
MN688589,A/swine/North_Carolina/A02478769/2019(H1N2),NA,N2
MN688593,A/swine/Iowa/A02478766/2019(H1N1),NA,N1
MN702967,A/duck/Cambodia/Z535W33M3/2015(H7N3),NA,N3
MN794970,A/long_tailed_duck/Wisconsin/18OS2993/2018(H3N1),NA,N1
MN794983,A/lesser_scaup/Wisconsin/18OS3138/2018(H11N2),NA,N2
MN846564,A/swine/Nebraska/A02245333/2019(H1N2),NA,N2
MN846570,A/swine/Illinois/A02478814/2019(H1N1),NA,N1
MN846580,A/swine/Iowa/A02478816/2019(H1N2),NA,N2
MN846582,A/swine/Iowa/A02478813/2019(H1N2),NA,N2
MN846592,A/swine/Iowa/A02478827/2019(H1N2),NA,N2
MN848864,A/swine/Iowa/A02478834/2019(H1N1),NA,N1
MN848872,A/swine/Iowa/A02478842/2019(H1N2),NA,N2
MN848878,A/swine/Illinois/A02478857/2019(H1N2),NA,N2
MN857559,A/swine/Minnesota/A02245344/2019(H1N2),NA,N2
MN857567,A/swine/Kansas/A02245345/2019(H3N2),NA,N2
MN857579,A/swine/Iowa/A02478887/2019(H1N1),NA,N1
MN857605,A/swine/Iowa/A02478848/2019(H1N2),NA,N2
MN931958,A/swine/Iowa/A02478938/2019(H1N1),NA,N1
MN932028,A/swine/Iowa/A02478917/2019(H1N2),NA,N2
MN932034,A/swine/Iowa/A02478924/2019(H1N2),NA,N2
MN932048,A/swine/Iowa/A02478912/2019(H1N1),NA,N1
MN932054,A/swine/Nebraska/A02478898/2019(H1N2),NA,N2
MN932058,A/swine/North_Carolina/A02478927/2019(H1N2),NA,N2
MN963936,A/swine/Colorado/A02245372/2019(H1N2),NA,N2
MN963938,A/swine/Minnesota/A02245369/2019(H3N2),NA,N2
MN963942,A/swine/Colorado/A02245367/2019(H1N1),NA,N1
MN999896,A/swine/Iowa/A02478973/2019(H1N2),NA,N2
MN999910,A/swine/Iowa/A02478968/2020(H1N2),NA,N2
MN999920,A/swine/North_Carolina/A02478975/2019(H1N2),NA,N2
MT020039,A/swine/Minnesota/A02245378/2020(H1N2),NA,N2
MT020053,A/swine/Nebraska/A02478986/2020(H3N2),NA,N2
MT020063,A/swine/North_Carolina/A02478985/2020(H1N1),NA,N1
MT020075,A/swine/Iowa/A02478990/2020(H1N1),NA,N1
MT020079,A/swine/Minnesota/A02478993/2020(H1N1),NA,N1
MT027933,A/swine/Indiana/A01812299/2019(H3N2),NA,N2
MT052069,A/swine/Illinois/A02479007/2020(H3N2),NA,N2
MT052093,A/swine/North_Carolina/A02478880/2019(H3N2),NA,N2
MT052113,A/swine/Missouri/A02478831/2019(H3N2),NA,N2
MT052139,A/swine/Nebraska/A02245391/2020(H1N2),NA,N2
MT052153,A/swine/Colorado/A02245358/2019(H1N1),NA,N1
MT052155,A/swine/North_Carolina/A02245396/2020(H3N2),NA,N2
MT077040,A/swine/Iowa/A02479024/2020(H1N2),NA,N2
MT077060,A/swine/Iowa/A02479019/2020(H1N2),NA,N2
MT121018,A/swine/Iowa/A02479053/2020(H3N2),NA,N2
MT154212,A/swine/Michigan/A02479056/2020(H1N2),NA,N2
MT186153,A/swine/China/Fujian_NP/2017(H1N1),NA,N1
MT186154,A/swine/China/Guangdong_ZSBS/2017(H1N1),NA,N1
MT186155,A/swine/China/Guangxi_NK/2016(H1N1),NA,N1
MT232769,A/swine/Iowa/A02479069/2020(H3N2),NA,N2
MT233082,A/swine/Iowa/A02479084/2020(H1N2),NA,N2
MT233086,A/swine/Iowa/A02479101/2020(H1N2),NA,N2
MT252931,A/swine/Minnesota/A02245399/2020(H1N2),NA,N2
MT277371,A/swine/Oklahoma/A02479121/2020(H3N2),NA,N2
MT277379,A/swine/Iowa/A02479126/2020(H3N2),NA,N2
MT277474,A/swine/Iowa/A02479109/2020(H1N2),NA,N2
MT277476,A/swine/Utah/A02479108/2020(H1N1),NA,N1
MT277482,A/swine/North_Carolina/A02479115/2020(H1N2),NA,N2
MT277492,A/swine/Iowa/A02479107/2020(H1N2),NA,N2
MT318340,A/swine/Minnesota/A02245528/2020(H1N1),NA,N1
MT319770,A/swine/Iowa/A02479137/2020(H3N2),NA,N2
MT319776,A/swine/Iowa/A02479144/2020(H1N2),NA,N2
MT319782,A/swine/Nebraska/A02479150/2020(H3N2),NA,N2
MT319800,A/swine/Minnesota/A02479158/2020(H1N1),NA,N1
MT319808,A/swine/Iowa/A02479146/2020(H1N1),NA,N1
MT367638,A/swine/Iowa/A02479165/2020(H1N2),NA,N2
MT367656,A/swine/Iowa/A02479171/2020(H1N2),NA,N2
MT372531,A/swine/Minnesota/A02245561/2020(H1N2),NA,N2
MT372537,A/swine/Iowa/A02245581/2020(H3N2),NA,N2
MT421053,A/American_black_duck/Maine/UGAI15_7694/2015(H3N2),NA,N2
MT477771,A/Wild_duck/South_Korea/KNU18_28/2018(H5N2),NA,N2
U42630,A/Hong_Kong/8/68(H3N2),NA,N2
U42771,A/Beijing/46/92(H3N2),NA,N2
U42774,A/California/271/92(H3N2),NA,N2
U42775,A/Netherlands/938/92(H3N2),NA,N2
FR687260,A/chicken/Egypt/Q1185/2010(H5N1),NA,N1
J02177,A/WSN/1933(H1N1),NA,N1
L25815,A/NWS/1933(H1N1),NA,N1
AB434362,A/swine/Nakhon_pathom/NIAH586_1/2005(H3N2),NA,N2
AY207525,A/turkey/California/6878/79(H5N3),NA,N3
AY573918,A/chicken/Taiwan/1209/03(H5N2),NA,N2
CY005840,A/chicken/Chis/15224/1997(H5N2),NA,N2
CY014752,A/turkey/Minnesota/799/1980(H6N1),NA,N1
CY014757,A/turkey/Minnesota/836/1980(H6N2),NA,N2
CY015075,A/chicken/Pennsylvania/1/1983(H5N2),NA,N2
EU216094,A/chicken/Yunnan/Chuxiong2/2007(H9N2),NA,N2
EU216095,A/chicken/Yunnan/Dali/2007(H9N2),NA,N2
EU216096,A/chicken/Yunnan/Dehong1/2006(H9N2),NA,N2
EU216097,A/chicken/Yunnan/Dehong2/2007(H9N2),NA,N2
EU216098,A/chicken/Yunnan/Diqing/2006(H9N2),NA,N2
EU216099,A/chicken/Yunnan/Honghe/2007(H9N2),NA,N2
EU216101,A/chicken/Yunnan/BanNa1/2006(H9N2),NA,N2
EU216102,A/chicken/Yunnan/Banna2/2007(H9N2),NA,N2
EU216103,A/chicken/Yunnan/BaoShan1/2006(H9N2),NA,N2
EU216104,A/chicken/Yunnan/Baoshan2/2007(H9N2),NA,N2
EU216105,A/chicken/Yunnan/Yuxi1/2007(H9N2),NA,N2
EU296616,A/swine/Nakhon_pathom/NIAH586_2/2005(H3N2),NA,N2
EU296622,A/swine/Chonburi/05CB2/2005(H3N2),NA,N2
EU429731,A/duck/Eastern_China/150/2003(H5N1),NA,N1
EU644483,A/goose/Yunnan/chuxiong07/07(H9N2),NA,N2
JF827076,A/chicken/Pakistan_Khi/NARC_520/2008(H5N1),NA,N1
JN244223,A/wild_bird/Korea/A3/2011(H7N9),NA,N9
JQ906905,A/swine/Minnesota/A01047913/2010(H1N2),NA,N2
JX092590,A/swine/Arkansas/A01203116/2012(H1N1),NA,N1
KF193388,A/chicken/Taiwan/0101/2012(H5N2),NA,N2
KF874275,A/swine/North_Carolina/A01394568/2013(H1N1),NA,N1
KJ720210,A/chicken/Taiwan/0502/2012(H5N2),NA,N2
KR700203,A/swine/France/IIIeetVilaine_0354/2011(H1N1),NA,N1
KU322697,A/swine/Italy/282881/2013(H1N1),NA,N1
KU323271,A/swine/Italy/203977/2015(H1N1),NA,N1
LC408984,A/Tokyo/DS7_100/2016(H3N2),NA,N2
LC408990,A/Kagawa/DS7_115/2016(H3N2),NA,N2
LC409001,A/Fukuoka/DS7_162/2016(H3N2),NA,N2
LC409004,A/Saitama/DS7_179/2016(H3N2),NA,N2
LC409005,A/Kagawa/DS7_197/2016(H3N2),NA,N2
LC409006,A/Tokyo/DS7_198/2016(H3N2),NA,N2
LC409011,A/Tokyo/DS7_245/2016(H3N2),NA,N2
LC409012,A/Tokyo/DS7_246/2016(H3N2),NA,N2
LC409014,A/Tokyo/DS7_267/2016(H3N2),NA,N2
LC409015,A/Tokyo/DS7_277/2017(H3N2),NA,N2
LC409019,A/Ishikawa/DS7_287/2017(H3N2),NA,N2
LC409021,A/Ishikawa/DS7_294/2017(H3N2),NA,N2
LC409023,A/Fukuoka/DS7_29/2016(H3N2),NA,N2
LC409024,A/Fukuoka/DS7_2/2016(H3N2),NA,N2
LC409025,A/Ishikawa/DS7_300/2017(H3N2),NA,N2
LC409029,A/Tokyo/DS7_334/2017(H3N2),NA,N2
LC409032,A/Fukuoka/DS7_381/2017(H3N2),NA,N2
LC409044,A/Tokyo/DS7_63/2016(H3N2),NA,N2
CY015098,A/chicken/Queretaro/14588_19/1995(H5N2),NA,N2
KU143368,A/duck/Wuhan/JXYFB22/2015(H5N6),NA,N6
KY171727,A/chicken/Vietnam/NCVD_15A59/2015(H5N6),NA,N6
LC503274,A/chicken/Japan/AQ_HE29_86/2017(H6N1),NA,N1
CY031269,A/duck/Hong_Kong/702/1979_chicken_adapted(H9N2),NA,N2
DQ887063,A/chicken/Jalgaon/8824/2006(H5N1),NA,N1
FJ811997,A/duck/Viet_Nam/CM_1/2006(H5N1),NA,N1
KF188324,A/chicken/Shantou/22116/2005(H9N2),NA,N2
KT216658,A/duck/Jiangsu/WX5001/2013(H9N2),NA,N2
LC408996,A/Fukushima/DS7_150/2016(H3N2),NA,N2
GU052646,A/chicken/Texas/298313_2/2004(H5N2),NA,N2
KT952274,A/wild_pigeon/Jilin/CC01/2014(H5N6),NA,N6
LC431364,A/turkey/Minnesota/38391_6/1995(H9N2),NA,N2
CY019434,A/Indonesia/CDC1047S/2007(H5N1),NA,N1
EU620661,A/chicken/Thailand/PC_340/2008(H5N1),NA,N1
AB256684,A/chicken/Kobe/aq26/2001(H9N2),NA,N2
AB256692,A/chicken/Osaka/aq58/2001(H9N2),NA,N2
AB256700,A/chicken/Osaka/aq69/2001(H9N2),NA,N2
AB256708,A/chicken/Yokohama/aq45/2002(H9N2),NA,N2
AB775616,A/duck/Vietnam/OIE_3061/2012(H6N2),NA,N2
